apiurl,domain,family,title,required_params,optional_params,response_field_count
"/ext/m195/code_info","ext","m195","코드정보","cust_id, auth_key","","4"
"/ext/m195/hist_info","ext","m195","일별정보","cust_id, auth_key, jcode, sdate, edate","","10"
"/ext/m195/intra_info","ext","m195","주기정보(10초)","cust_id, auth_key, jcode","","13"
"/ext/m195/term_hist_info","ext","m195","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","8"
"/ext/m195/tick_info","ext","m195","체결정보","cust_id, auth_key, jcode","","10"
"/ext/m196/basic_info","ext","m196","기본정보","cust_id, auth_key, jcode","","34"
"/ext/m196/basic_info_port","ext","m196","기본정보(복수종목)","cust_id, auth_key, codelist","","34"
"/ext/m196/code_info","ext","m196","코드정보","cust_id, auth_key","","4"
"/ext/m196/hist_info","ext","m196","일별정보","cust_id, auth_key, jcode, sdate, edate","","10"
"/ext/m196/intra_info","ext","m196","주기정보(10초)","cust_id, auth_key, jcode","","13"
"/ext/m196/term_hist_info","ext","m196","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","8"
"/ext/m196/tick_info","ext","m196","체결정보","cust_id, auth_key, jcode","","10"
"/ext/m197/basic_info","ext","m197","기본정보","cust_id, auth_key, jcode","","34"
"/ext/m197/basic_info_port","ext","m197","기본정보(복수종목)","cust_id, auth_key, codelist","","34"
"/ext/m197/code_info","ext","m197","코드정보","cust_id, auth_key","","4"
"/ext/m197/hist_info","ext","m197","일별정보","cust_id, auth_key, jcode, sdate, edate","","10"
"/ext/m197/intra_info","ext","m197","주기정보(10초)","cust_id, auth_key, jcode","","13"
"/ext/m197/term_hist_info","ext","m197","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","8"
"/ext/m197/tick_info","ext","m197","체결정보","cust_id, auth_key, jcode","","10"
"/ext/m198/basic_info","ext","m198","기본정보","cust_id, auth_key, jcode","","34"
"/ext/m198/basic_info_port","ext","m198","기본정보(복수종목)","cust_id, auth_key, codelist","","34"
"/ext/m198/code_info","ext","m198","코드정보","cust_id, auth_key","","4"
"/ext/m198/hist_info","ext","m198","일별정보","cust_id, auth_key, jcode, sdate, edate","","10"
"/ext/m198/intra_info","ext","m198","주기정보(10초)","cust_id, auth_key, jcode","","13"
"/ext/m198/term_hist_info","ext","m198","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","8"
"/ext/m198/tick_info","ext","m198","체결정보","cust_id, auth_key, jcode","","10"
"/ext/m215/basic_info","ext","m215","기본정보","cust_id, auth_key, jcode","","12"
"/ext/m215/basic_info_port","ext","m215","기본정보(복수종목)","cust_id, auth_key, codelist","","12"
"/ext/m215/code_info","ext","m215","코드정보","cust_id, auth_key","","3"
"/ext/m215/hist_info","ext","m215","일별정보","cust_id, auth_key, jcode, sdate, edate","","22"
"/ext/m215/term_hist_info","ext","m215","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","16"
"/future/m005/basic_info","future","m005","기본정보","cust_id, auth_key, jcode","","38"
"/future/m005/basic_info_port","future","m005","기본정보(복수종목)","cust_id, auth_key, codelist","","38"
"/future/m005/code_info","future","m005","코드정보","cust_id, auth_key","","8"
"/future/m005/hist_info","future","m005","일별정보","cust_id, auth_key, jcode, sdate, edate","","20"
"/future/m005/hoga_info","future","m005","호가정보","cust_id, auth_key, jcode","","24"
"/future/m005/hoga_info_port","future","m005","호가정보","cust_id, auth_key, codelist","","24"
"/future/m005/hoga_info_port_top","future","m005","호가정보(복수종목_최우선)","cust_id, auth_key, codelist","","6"
"/future/m005/intra_date","future","m005","주기정보(10초)","cust_id, auth_key, jcode, edate","","22"
"/future/m005/intra_info","future","m005","주기정보(10초)","cust_id, auth_key, jcode","","20"
"/future/m005/invest_basic_info","future","m005","기본정보","cust_id, auth_key","","40"
"/future/m005/invest_hist_info","future","m005","기본정보","cust_id, auth_key, sdate, edate","","41"
"/future/m005/invest_intra_info","future","m005","주기정보(30초)","cust_id, auth_key","","41"
